i,porcentaje,dataset,variante
0,0.5625,wikipedia,Frecuencia
1,0.263158,wikipedia,Frecuencia
2,0.423077,wikipedia,Frecuencia
3,0.53125,wikipedia,Frecuencia
4,0.763889,wikipedia,Frecuencia
5,0.717949,wikipedia,Frecuencia
6,0.617021,wikipedia,Frecuencia
7,0.612275,wikipedia,Frecuencia
8,0.655713,wikipedia,Frecuencia
9,0.622205,wikipedia,Frecuencia
10,0.576601,wikipedia,Frecuencia
11,0.63273,wikipedia,Frecuencia
12,0.683134,wikipedia,Frecuencia
13,0.750748,wikipedia,Frecuencia
14,0.73564,wikipedia,Frecuencia
15,0.716702,wikipedia,Frecuencia
16,0.714924,wikipedia,Frecuencia
17,0.703894,wikipedia,Frecuencia
18,0.704031,wikipedia,Frecuencia
19,0.70081,wikipedia,Frecuencia
20,0.700012,wikipedia,Frecuencia
21,0.698983,wikipedia,Frecuencia
22,0.700247,wikipedia,Frecuencia
0,0.375,wikipedia,Reciente
1,0.473684,wikipedia,Reciente
2,0.653846,wikipedia,Reciente
3,0.65625,wikipedia,Reciente
4,0.694444,wikipedia,Reciente
5,0.673077,wikipedia,Reciente
6,0.659574,wikipedia,Reciente
7,0.666168,wikipedia,Reciente
8,0.678118,wikipedia,Reciente
9,0.659341,wikipedia,Reciente
10,0.638529,wikipedia,Reciente
11,0.621282,wikipedia,Reciente
12,0.659253,wikipedia,Reciente
13,0.696119,wikipedia,Reciente
14,0.680802,wikipedia,Reciente
15,0.677646,wikipedia,Reciente
16,0.680486,wikipedia,Reciente
17,0.672588,wikipedia,Reciente
18,0.68117,wikipedia,Reciente
19,0.686021,wikipedia,Reciente
20,0.685963,wikipedia,Reciente
21,0.68666,wikipedia,Reciente
22,0.687698,wikipedia,Reciente
0,1,random,Frecuencia
1,0.677419,random,Frecuencia
2,0.630435,random,Frecuencia
3,0.649351,random,Frecuencia
4,0.798742,random,Frecuencia
5,0.813725,random,Frecuencia
6,0.818471,random,Frecuencia
7,0.79562,random,Frecuencia
8,0.786153,random,Frecuencia
9,0.806654,random,Frecuencia
10,0.816695,random,Frecuencia
11,0.814256,random,Frecuencia
12,0.816084,random,Frecuencia
13,0.820644,random,Frecuencia
14,0.819524,random,Frecuencia
15,0.817378,random,Frecuencia
16,0.813578,random,Frecuencia
17,0.806952,random,Frecuencia
18,0.796195,random,Frecuencia
19,0.783623,random,Frecuencia
20,0.775913,random,Frecuencia
21,0.775199,random,Frecuencia
22,0.777021,random,Frecuencia
0,0.55,random,Reciente
1,0.258065,random,Reciente
2,0.434783,random,Reciente
3,0.38961,random,Reciente
4,0.509434,random,Reciente
5,0.418301,random,Reciente
6,0.471338,random,Reciente
7,0.48013,random,Reciente
8,0.505531,random,Reciente
9,0.544465,random,Reciente
10,0.552118,random,Reciente
11,0.577033,random,Reciente
12,0.603108,random,Reciente
13,0.628303,random,Reciente
14,0.654415,random,Reciente
15,0.686179,random,Reciente
16,0.714537,random,Reciente
17,0.742157,random,Reciente
18,0.762295,random,Reciente
19,0.774022,random,Reciente
20,0.777433,random,Reciente
21,0.777963,random,Reciente
22,0.778111,random,Reciente
0,1,randomD,Frecuencia
1,1,randomD,Frecuencia
2,1,randomD,Frecuencia
3,0.906977,randomD,Frecuencia
4,0.942857,randomD,Frecuencia
5,0.940789,randomD,Frecuencia
6,0.939189,randomD,Frecuencia
7,0.952542,randomD,Frecuencia
8,0.942833,randomD,Frecuencia
9,0.94611,randomD,Frecuencia
10,0.949837,randomD,Frecuencia
11,0.954764,randomD,Frecuencia
12,0.957009,randomD,Frecuencia
13,0.956708,randomD,Frecuencia
14,0.956572,randomD,Frecuencia
15,0.957027,randomD,Frecuencia
16,0.956461,randomD,Frecuencia
17,0.955488,randomD,Frecuencia
18,0.955752,randomD,Frecuencia
19,0.954585,randomD,Frecuencia
20,0.953663,randomD,Frecuencia
21,0.953071,randomD,Frecuencia
22,0.929322,randomD,Frecuencia
0,0.5,randomD,Reciente
1,0.625,randomD,Reciente
2,0.833333,randomD,Reciente
3,0.744186,randomD,Reciente
4,0.642857,randomD,Reciente
5,0.730263,randomD,Reciente
6,0.658784,randomD,Reciente
7,0.684746,randomD,Reciente
8,0.690273,randomD,Reciente
9,0.696654,randomD,Reciente
10,0.716395,randomD,Reciente
11,0.726835,randomD,Reciente
12,0.732216,randomD,Reciente
13,0.74399,randomD,Reciente
14,0.753006,randomD,Reciente
15,0.760295,randomD,Reciente
16,0.765174,randomD,Reciente
17,0.775422,randomD,Reciente
18,0.776575,randomD,Reciente
19,0.776887,randomD,Reciente
20,0.777019,randomD,Reciente
21,0.777221,randomD,Reciente
22,0.777408,randomD,Reciente
